YEAR;MONTH;UNEMPLOYED;GENDER;AGEGROUP
2014;6;1913904;M;EQMORE25
2014;7;1888254;M;EQMORE25
2014;8;1898374;M;EQMORE25
2014;9;1883868;M;EQMORE25
2005;1;1133470;F;EQMORE25
2005;2;1138661;F;EQMORE25
2005;3;1129801;F;EQMORE25
2005;4;1114618;F;EQMORE25
2005;5;1083166;F;EQMORE25
2005;6;1078339;F;EQMORE25
2005;7;1094533;F;EQMORE25
2005;8;1097487;F;EQMORE25
2005;9;1088825;F;EQMORE25
2005;10;1100413;F;EQMORE25
2005;11;1121516;F;EQMORE25
2005;12;1108088;F;EQMORE25
2006;1;1153835;F;EQMORE25
2006;2;1160543;F;EQMORE25
2006;3;1159508;F;EQMORE25
2006;4;1129885;F;EQMORE25
2006;5;1105584;F;EQMORE25
2006;6;1093631;F;EQMORE25
2006;7;1094577;F;EQMORE25
2006;8;1095125;F;EQMORE25
2006;9;1087493;F;EQMORE25
2006;10;1097240;F;EQMORE25
2006;11;1110586;F;EQMORE25
2006;12;1094298;F;EQMORE25
2007;1;1139445;F;EQMORE25
2007;2;1144224;F;EQMORE25
2007;3;1142463;F;EQMORE25
2007;4;1127103;F;EQMORE25
2007;5;1108087;F;EQMORE25
2007;6;1102587;F;EQMORE25
2007;7;1100592;F;EQMORE25
2007;8;1113066;F;EQMORE25
2007;9;1109651;F;EQMORE25
2007;10;1124924;F;EQMORE25
2007;11;1137236;F;EQMORE25
2007;12;1127912;F;EQMORE25
2008;1;1197883;F;EQMORE25
2008;2;1218679;F;EQMORE25
2008;3;1202670;F;EQMORE25
2008;4;1210784;F;EQMORE25
2008;5;1205115;F;EQMORE25
2008;6;1213143;F;EQMORE25
2008;7;1218541;F;EQMORE25
2008;8;1242744;F;EQMORE25
2008;9;1269183;F;EQMORE25
2008;10;1327803;F;EQMORE25
2008;11;1378458;F;EQMORE25
2008;12;1396313;F;EQMORE25
2009;1;1484596;F;EQMORE25
2009;2;1542965;F;EQMORE25
2009;3;1591554;F;EQMORE25
2009;4;1608882;F;EQMORE25
2009;5;1611650;F;EQMORE25
2009;6;1607070;F;EQMORE25
2009;7;1602491;F;EQMORE25
2009;8;1635383;F;EQMORE25
2009;9;1665430;F;EQMORE25
2009;10;1703220;F;EQMORE25
2009;11;1727635;F;EQMORE25
2009;12;1722280;F;EQMORE25
2010;1;1793548;F;EQMORE25
2010;2;1825987;F;EQMORE25
2010;3;1843819;F;EQMORE25
2010;4;1846467;F;EQMORE25
2010;5;1826818;F;EQMORE25
2010;6;1814086;F;EQMORE25
2010;7;1788181;F;EQMORE25
2010;8;1811537;F;EQMORE25
2010;9;1831591;F;EQMORE25
2010;10;1861542;F;EQMORE25
2010;11;1874332;F;EQMORE25
2010;12;1853570;F;EQMORE25
2011;1;1925229;F;EQMORE25
2011;2;1953098;F;EQMORE25
2011;3;1965980;F;EQMORE25
2011;4;1938184;F;EQMORE25
2011;5;1920396;F;EQMORE25
2011;6;1906447;F;EQMORE25
2011;7;1886696;F;EQMORE25
2011;8;1908837;F;EQMORE25
